
16 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
    0       1n   1   0   1  0.00000e+00    0.000000      8.07100
    1       1H   1   1   0  7.08591e-01    0.708591      7.28900
    2      4He   4   2   2  6.90017e-02    0.276007      2.42500
    3      12C  12   6   6  2.53424e-04    0.003041      0.00000
    4      13C  13   6   7  2.81800e-06    0.000037      3.12500
    5      13N  13   7   6  0.00000e+00    0.000000      5.34600
    6      14N  14   7   7  7.88598e-05    0.001104      2.86300
    7      15N  15   7   8  2.91684e-07    0.000004      0.10100
    8      15O  15   8   7  0.00000e+00    0.000000      2.85500
    9      16O  16   8   8  6.01610e-04    0.009626     -4.73700
   10      17O  17   8   9  2.91684e-07    0.000005     -0.80900
   11      18O  18   8  10  1.20984e-06    0.000022     -0.78200
   12     17Fl  17   9   8  0.00000e+00    0.000000      1.95200
   13     18Fl  18   9   9  0.00000e+00    0.000000      0.87300
   14     19Fl  19   9  10  0.00000e+00    0.000000     -1.48700
   15     20Ne  20  10  10  7.81832e-05    0.001564     -7.04200

SUMMARY: 134 REACTIONS

60 he4+n14-->p+o17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.1910 prefac=1.0000 RGsymb:a+b<->c+d
61 p+o17-->he4+n14 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1910 prefac=1.0000 RGsymb:a+b<->c+d
62 p+o17-->he4+n14 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1910 prefac=1.0000 RGsymb:a+b<->c+d
63 p+o17-->he4+n14 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1910 prefac=1.0000 RGsymb:a+b<->c+d
64 p+n15-->o16 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=12.1280 prefac=1.0000 RGsymb:a+b<->c
65 p+n15-->o16 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=12.1280 prefac=1.0000 RGsymb:a+b<->c
66 o16-->p+n15 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-12.1280 prefac=1.0000 RGsymb:a+b<->c
67 o16-->p+n15 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-12.1280 prefac=1.0000 RGsymb:a+b<->c
68 he4+n15-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.0140 prefac=1.0000 RGsymb:a+b<->c
69 he4+n15-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.0140 prefac=1.0000 RGsymb:a+b<->c
70 he4+n15-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.0140 prefac=1.0000 RGsymb:a+b<->c
71 f19-->he4+n15 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.0140 prefac=1.0000 RGsymb:a+b<->c
72 f19-->he4+n15 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.0140 prefac=1.0000 RGsymb:a+b<->c
73 f19-->he4+n15 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.0140 prefac=1.0000 RGsymb:a+b<->c
74 p+n15-->n+o15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-3.5363 prefac=1.0000 RGsymb:a+b<->c+d
75 n+o15-->p+n15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.5363 prefac=1.0000 RGsymb:a+b<->c+d
76 he4+n15-->n+f18 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-6.4174 prefac=1.0000 RGsymb:a+b<->c+d
77 n+f18-->he4+n15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=6.4174 prefac=1.0000 RGsymb:a+b<->c+d
78 he4+n15-->p+o18 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-3.9800 prefac=1.0000 RGsymb:a+b<->c+d
79 he4+n15-->p+o18 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-3.9800 prefac=1.0000 RGsymb:a+b<->c+d
80 he4+n15-->p+o18 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-3.9800 prefac=1.0000 RGsymb:a+b<->c+d
81 p+o18-->he4+n15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.9800 prefac=1.0000 RGsymb:a+b<->c+d
82 p+o18-->he4+n15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.9800 prefac=1.0000 RGsymb:a+b<->c+d
83 p+o18-->he4+n15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.9800 prefac=1.0000 RGsymb:a+b<->c+d
84 o15-->n15+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=2.7540 prefac=1.0000 RGsymb:a<->b
85 he4+o15-->p+f18 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.8811 prefac=1.0000 RGsymb:a+b<->c+d
86 he4+o15-->p+f18 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.8811 prefac=1.0000 RGsymb:a+b<->c+d
87 p+f18-->he4+o15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.8811 prefac=1.0000 RGsymb:a+b<->c+d
88 p+f18-->he4+o15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.8811 prefac=1.0000 RGsymb:a+b<->c+d
89 n+o16-->o17 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.1434 prefac=1.0000 RGsymb:a+b<->c
90 o17-->n+o16 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.1434 prefac=1.0000 RGsymb:a+b<->c
91 p+o16-->f17 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=0.6000 prefac=1.0000 RGsymb:a+b<->c
