
16 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
    0       1n   1   0   1  0.00000e+00    0.000000      8.07100
    1       1H   1   1   0  7.08591e-01    0.708591      7.28900
    2      4He   4   2   2  6.90017e-02    0.276007      2.42500
    3      12C  12   6   6  2.53424e-04    0.003041      0.00000
    4      13C  13   6   7  2.81800e-06    0.000037      3.12500
    5      13N  13   7   6  0.00000e+00    0.000000      5.34600
    6      14N  14   7   7  7.88598e-05    0.001104      2.86300
    7      15N  15   7   8  2.91684e-07    0.000004      0.10100
    8      15O  15   8   7  0.00000e+00    0.000000      2.85500
    9      16O  16   8   8  6.01610e-04    0.009626     -4.73700
   10      17O  17   8   9  2.91684e-07    0.000005     -0.80900
   11      18O  18   8  10  1.20984e-06    0.000022     -0.78200
   12     17Fl  17   9   8  0.00000e+00    0.000000      1.95200
   13     18Fl  18   9   9  0.00000e+00    0.000000      0.87300
   14     19Fl  19   9  10  0.00000e+00    0.000000     -1.48700
   15     20Ne  20  10  10  7.81832e-05    0.001564     -7.04200

SUMMARY: 134 REACTIONS

he4+c12-->p+n15 reacIndex=17 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
he4+c12-->p+n15 reacIndex=18 RGindex=1 RGclass=4 RGreacIndex=1 isForward=1 RG:a+b<->c+d
p+n15-->he4+c12 reacIndex=19 RGindex=2 RGclass=4 RGreacIndex=2 isForward=0 RG:a+b<->c+d
p+n15-->he4+c12 reacIndex=20 RGindex=3 RGclass=4 RGreacIndex=3 isForward=0 RG:a+b<->c+d

Reaction Group 7:
c12+c12-->he4+ne20 reacIndex=21 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
he4+ne20-->c12+c12 reacIndex=22 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 8:
p+c13-->n14 reacIndex=23 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
p+c13-->n14 reacIndex=24 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
n14-->p+c13 reacIndex=25 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
n14-->p+c13 reacIndex=26 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 9:
p+c13-->n+n13 reacIndex=27 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
n+n13-->p+c13 reacIndex=28 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 10:
he4+c13-->n+o16 reacIndex=29 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
he4+c13-->n+o16 reacIndex=30 RGindex=1 RGclass=4 RGreacIndex=1 isForward=1 RG:a+b<->c+d
he4+c13-->n+o16 reacIndex=31 RGindex=2 RGclass=4 RGreacIndex=2 isForward=1 RG:a+b<->c+d
n+o16-->he4+c13 reacIndex=32 RGindex=3 RGclass=4 RGreacIndex=3 isForward=0 RG:a+b<->c+d
n+o16-->he4+c13 reacIndex=33 RGindex=4 RGclass=4 RGreacIndex=4 isForward=0 RG:a+b<->c+d
n+o16-->he4+c13 reacIndex=34 RGindex=5 RGclass=4 RGreacIndex=5 isForward=0 RG:a+b<->c+d

Reaction Group 11:
n13-->c13+e++nu reacIndex=35 RGindex=0 RGclass=1 RGreacIndex=0 isForward=1 RG:a<->b

Reaction Group 12:
n+n13-->n14 reacIndex=36 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
n+n13-->n14 reacIndex=37 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
n14-->n+n13 reacIndex=38 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
n14-->n+n13 reacIndex=39 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 13:
he4+n13-->p+o16 reacIndex=40 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
p+o16-->he4+n13 reacIndex=41 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 14:
n+n14-->n15 reacIndex=42 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
n15-->n+n14 reacIndex=43 RGindex=1 RGclass=2 RGreacIndex=1 isForward=0 RG:a+b<->c

Reaction Group 15:
p+n14-->o15 reacIndex=44 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
p+n14-->o15 reacIndex=45 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
o15-->p+n14 reacIndex=46 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
o15-->p+n14 reacIndex=47 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 16:
he4+n14-->f18 reacIndex=48 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
he4+n14-->f18 reacIndex=49 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
he4+n14-->f18 reacIndex=50 RGindex=2 RGclass=2 RGreacIndex=2 isForward=1 RG:a+b<->c
f18-->he4+n14 reacIndex=51 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c
f18-->he4+n14 reacIndex=52 RGindex=4 RGclass=2 RGreacIndex=4 isForward=0 RG:a+b<->c
f18-->he4+n14 reacIndex=53 RGindex=5 RGclass=2 RGreacIndex=5 isForward=0 RG:a+b<->c

Reaction Group 17:
he4+n14-->n+f17 reacIndex=54 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
he4+n14-->n+f17 reacIndex=55 RGindex=1 RGclass=4 RGreacIndex=1 isForward=1 RG:a+b<->c+d
n+f17-->he4+n14 reacIndex=56 RGindex=2 RGclass=4 RGreacIndex=2 isForward=0 RG:a+b<->c+d
n+f17-->he4+n14 reacIndex=57 RGindex=3 RGclass=4 RGreacIndex=3 isForward=0 RG:a+b<->c+d

Reaction Group 18:
he4+n14-->p+o17 reacIndex=58 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
he4+n14-->p+o17 reacIndex=59 RGindex=1 RGclass=4 RGreacIndex=1 isForward=1 RG:a+b<->c+d
he4+n14-->p+o17 reacIndex=60 RGindex=2 RGclass=4 RGreacIndex=2 isForward=1 RG:a+b<->c+d
p+o17-->he4+n14 reacIndex=61 RGindex=3 RGclass=4 RGreacIndex=3 isForward=0 RG:a+b<->c+d
p+o17-->he4+n14 reacIndex=62 RGindex=4 RGclass=4 RGreacIndex=4 isForward=0 RG:a+b<->c+d
p+o17-->he4+n14 reacIndex=63 RGindex=5 RGclass=4 RGreacIndex=5 isForward=0 RG:a+b<->c+d

Reaction Group 19:
p+n15-->o16 reacIndex=64 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
p+n15-->o16 reacIndex=65 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
o16-->p+n15 reacIndex=66 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
o16-->p+n15 reacIndex=67 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 20:
he4+n15-->f19 reacIndex=68 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
he4+n15-->f19 reacIndex=69 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
he4+n15-->f19 reacIndex=70 RGindex=2 RGclass=2 RGreacIndex=2 isForward=1 RG:a+b<->c
f19-->he4+n15 reacIndex=71 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c
f19-->he4+n15 reacIndex=72 RGindex=4 RGclass=2 RGreacIndex=4 isForward=0 RG:a+b<->c
f19-->he4+n15 reacIndex=73 RGindex=5 RGclass=2 RGreacIndex=5 isForward=0 RG:a+b<->c

Reaction Group 21:
p+n15-->n+o15 reacIndex=74 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
n+o15-->p+n15 reacIndex=75 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 22:
he4+n15-->n+f18 reacIndex=76 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
n+f18-->he4+n15 reacIndex=77 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 23:
he4+n15-->p+o18 reacIndex=78 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
he4+n15-->p+o18 reacIndex=79 RGindex=1 RGclass=4 RGreacIndex=1 isForward=1 RG:a+b<->c+d
he4+n15-->p+o18 reacIndex=80 RGindex=2 RGclass=4 RGreacIndex=2 isForward=1 RG:a+b<->c+d
p+o18-->he4+n15 reacIndex=81 RGindex=3 RGclass=4 RGreacIndex=3 isForward=0 RG:a+b<->c+d
p+o18-->he4+n15 reacIndex=82 RGindex=4 RGclass=4 RGreacIndex=4 isForward=0 RG:a+b<->c+d
p+o18-->he4+n15 reacIndex=83 RGindex=5 RGclass=4 RGreacIndex=5 isForward=0 RG:a+b<->c+d

Reaction Group 24:
o15-->n15+e++nu reacIndex=84 RGindex=0 RGclass=1 RGreacIndex=0 isForward=1 RG:a<->b

Reaction Group 25:
he4+o15-->p+f18 reacIndex=85 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
he4+o15-->p+f18 reacIndex=86 RGindex=1 RGclass=4 RGreacIndex=1 isForward=1 RG:a+b<->c+d
p+f18-->he4+o15 reacIndex=87 RGindex=2 RGclass=4 RGreacIndex=2 isForward=0 RG:a+b<->c+d
p+f18-->he4+o15 reacIndex=88 RGindex=3 RGclass=4 RGreacIndex=3 isForward=0 RG:a+b<->c+d

Reaction Group 26:
n+o16-->o17 reacIndex=89 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
o17-->n+o16 reacIndex=90 RGindex=1 RGclass=2 RGreacIndex=1 isForward=0 RG:a+b<->c

Reaction Group 27:
p+o16-->f17 reacIndex=91 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
f17-->p+o16 reacIndex=92 RGindex=1 RGclass=2 RGreacIndex=1 isForward=0 RG:a+b<->c

Reaction Group 28:
he4+o16-->ne20 reacIndex=93 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
he4+o16-->ne20 reacIndex=94 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
ne20-->he4+o16 reacIndex=95 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
ne20-->he4+o16 reacIndex=96 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 29:
he4+o16-->p+f19 reacIndex=97 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
he4+o16-->p+f19 reacIndex=98 RGindex=1 RGclass=4 RGreacIndex=1 isForward=1 RG:a+b<->c+d
p+f19-->he4+o16 reacIndex=99 RGindex=2 RGclass=4 RGreacIndex=2 isForward=0 RG:a+b<->c+d
p+f19-->he4+o16 reacIndex=100 RGindex=3 RGclass=4 RGreacIndex=3 isForward=0 RG:a+b<->c+d

Reaction Group 30:
n+o17-->o18 reacIndex=101 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
n+o17-->o18 reacIndex=102 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
o18-->n+o17 reacIndex=103 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
o18-->n+o17 reacIndex=104 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 31:
p+o17-->f18 reacIndex=105 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
p+o17-->f18 reacIndex=106 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
p+o17-->f18 reacIndex=107 RGindex=2 RGclass=2 RGreacIndex=2 isForward=1 RG:a+b<->c
f18-->p+o17 reacIndex=108 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c
f18-->p+o17 reacIndex=109 RGindex=4 RGclass=2 RGreacIndex=4 isForward=0 RG:a+b<->c
f18-->p+o17 reacIndex=110 RGindex=5 RGclass=2 RGreacIndex=5 isForward=0 RG:a+b<->c

Reaction Group 32:
p+o17-->n+f17 reacIndex=111 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
n+f17-->p+o17 reacIndex=112 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 33:
p+o18-->f19 reacIndex=113 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
p+o18-->f19 reacIndex=114 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
p+o18-->f19 reacIndex=115 RGindex=2 RGclass=2 RGreacIndex=2 isForward=1 RG:a+b<->c
f19-->p+o18 reacIndex=116 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c
f19-->p+o18 reacIndex=117 RGindex=4 RGclass=2 RGreacIndex=4 isForward=0 RG:a+b<->c
f19-->p+o18 reacIndex=118 RGindex=5 RGclass=2 RGreacIndex=5 isForward=0 RG:a+b<->c

Reaction Group 34:
p+o18-->n+f18 reacIndex=119 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
n+f18-->p+o18 reacIndex=120 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 35:
f17-->o17+e++nu reacIndex=121 RGindex=0 RGclass=1 RGreacIndex=0 isForward=1 RG:a<->b

Reaction Group 36:
n+f17-->f18 reacIndex=122 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
f18-->n+f17 reacIndex=123 RGindex=1 RGclass=2 RGreacIndex=1 isForward=0 RG:a+b<->c

Reaction Group 37:
he4+f17-->p+ne20 reacIndex=124 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
p+ne20-->he4+f17 reacIndex=125 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 38:
f18-->o18+e++nu reacIndex=126 RGindex=0 RGclass=1 RGreacIndex=0 isForward=1 RG:a<->b

Reaction Group 39:
n+f18-->f19 reacIndex=127 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
f19-->n+f18 reacIndex=128 RGindex=1 RGclass=2 RGreacIndex=1 isForward=0 RG:a+b<->c

Reaction Group 40:
p+f19-->ne20 reacIndex=129 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
p+f19-->ne20 reacIndex=130 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
ne20-->p+f19 reacIndex=131 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
ne20-->p+f19 reacIndex=132 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 41:
n+ne20-->he4+o17 reacIndex=133 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d


PARTIAL EQUILIBRIUM REACTION GROUPS (t=1.0000e+18, fracRGequil= 0.00)

REACTION GROUP 0: isEquil=FALSE netflux=1.146e-45 thisDevious/maxDevious=0.000
    n-->p+e+nubar flux=1.146e-45 flux_true=1.146e-45
    Sum flux_true=1.146e-45
Isotope Equil Ratios:  1n(6.667e+25)   1H(1.857e+01) 
Isotope Mass Fractions:  1n(0.000e+00)   1H(8.530e-09) 

REACTION GROUP 1: isEquil=FALSE netflux=1.216e-56 thisDevious/maxDevious=12635131188207343183710912512.000
    he4+he4+he4-->c12 flux=1.945e-98 flux_true=1.945e-98
    he4+he4+he4-->c12 flux=1.216e-56 flux_true=1.216e-56
    c12-->he4+he4+he4 flux=0.000e+00 flux_true=0.000e+00
    c12-->he4+he4+he4 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=1.216e-56
Isotope Equil Ratios: 4He(6.667e+25)  4He(6.667e+25)  4He(6.667e+25)  12C(6.667e+01) 
Isotope Mass Fractions: 4He(0.000e+00)  4He(0.000e+00)  4He(0.000e+00)  12C(2.052e-02) 

REACTION GROUP 2: isEquil=FALSE netflux=3.623e-42 thisDevious/maxDevious=0.000
    n+c12-->c13 flux=3.623e-42 flux_true=3.623e-42
    c13-->n+c12 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=3.623e-42
Isotope Equil Ratios:  1n(6.667e+25)  12C(4.831e-05)  13C(1.342e-02) 
Isotope Mass Fractions:  1n(0.000e+00)  12C(4.923e-07)  13C(1.314e-07) 

REACTION GROUP 3: isEquil=FALSE netflux=3.966e-26 thisDevious/maxDevious=5315393442402871717563085271072768.000
    p+c12-->n13 flux=3.966e-26 flux_true=3.966e-26
    p+c12-->n13 flux=2.363e-112 flux_true=2.363e-112
    n13-->p+c12 flux=0.000e+00 flux_true=0.000e+00
    n13-->p+c12 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=3.966e-26
Isotope Equil Ratios:  1H(6.667e+25)  12C(9.645e-02)  13N(6.667e+01) 
Isotope Mass Fractions:  1H(0.000e+00)  12C(4.916e-07)  13N(6.562e-10) 

REACTION GROUP 4: isEquil=FALSE netflux=3.605e-45 thisDevious/maxDevious=121124122323410808209408.000
    he4+c12-->o16 flux=3.605e-45 flux_true=3.605e-45
    he4+c12-->o16 flux=0.000e+00 flux_true=0.000e+00
    o16-->he4+c12 flux=0.000e+00 flux_true=0.000e+00
    o16-->he4+c12 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=3.605e-45
Isotope Equil Ratios: 4He(1.600e-03)  12C(6.667e+25)  16O(5.971e+00) 
Isotope Mass Fractions: 4He(6.156e-02)  12C(0.000e+00)  16O(4.122e-06) 

REACTION GROUP 5: isEquil=FALSE netflux=-7.245e-57 thisDevious/maxDevious=  nan
    he4+c12-->n+o15 flux=0.000e+00 flux_true=0.000e+00
    n+o15-->he4+c12 flux=7.245e-57 flux_true=7.245e-57
    Sum flux_true=-7.245e-57
Isotope Equil Ratios: 4He(1.621e-07)  12C(4.831e-05)   1n(6.667e+25)  15O(6.667e+25) 
Isotope Mass Fractions: 4He(6.156e-02)  12C(4.923e-07)   1n(-2.776e-17)  15O(-1.850e-18) 

REACTION GROUP 6: isEquil=FALSE netflux=-3.995e-26 thisDevious/maxDevious=  nan
    he4+c12-->p+n15 flux=0.000e+00 flux_true=0.000e+00
    he4+c12-->p+n15 flux=0.000e+00 flux_true=0.000e+00
    p+n15-->he4+c12 flux=3.995e-26 flux_true=3.995e-26
    p+n15-->he4+c12 flux=1.410e-83 flux_true=1.410e-83
    Sum flux_true=-3.995e-26
Isotope Equil Ratios: 4He(2.208e-06)  12C(9.858e-02)   1H(6.667e+25)  15N(2.739e+01) 
Isotope Mass Fractions: 4He(6.156e-02)  12C(4.930e-07)   1H(-2.228e-10)  15N(1.365e-09) 

REACTION GROUP 7: isEquil=FALSE netflux=2.794e-117 thisDevious/maxDevious=9065293719030990848.000
    c12+c12-->he4+ne20 flux=2.794e-117 flux_true=2.794e-117
    he4+ne20-->c12+c12 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=2.794e-117
Isotope Equil Ratios: 12C(6.667e+25)  12C(6.667e+25)  4He(1.599e-03) 20Ne(4.684e+00) 
Isotope Mass Fractions: 12C(0.000e+00)  12C(0.000e+00)  4He(6.156e-02) 20Ne(4.204e-06) 

REACTION GROUP 8: isEquil=FALSE netflux=3.949e-26 thisDevious/maxDevious=62946253347488.875
    p+c13-->n14 flux=3.949e-26 flux_true=3.949e-26
    p+c13-->n14 flux=6.170e-129 flux_true=6.170e-129
    n14-->p+c13 flux=0.000e+00 flux_true=0.000e+00
    n14-->p+c13 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=3.949e-26
Isotope Equil Ratios:  1H(6.667e+25)  13C(3.212e-01)  14N(6.814e-04) 
Isotope Mass Fractions:  1H(0.000e+00)  13C(1.307e-07)  14N(5.961e-05) 

REACTION GROUP 9: isEquil=FALSE netflux=-1.676e-55 thisDevious/maxDevious=  nan
    p+c13-->n+n13 flux=0.000e+00 flux_true=0.000e+00
    n+n13-->p+c13 flux=1.676e-55 flux_true=1.676e-55
    Sum flux_true=-1.676e-55
Isotope Equil Ratios:  1H(1.857e+01)  13C(1.342e-02)   1n(6.667e+25)  13N(2.520e+01) 
Isotope Mass Fractions:  1H(8.530e-09)  13C(1.314e-07)   1n(-2.316e-23)  13N(1.909e-24) 

REACTION GROUP 10: isEquil=FALSE netflux=1.768e-40 thisDevious/maxDevious=34429833220839471323943736578862202217888629485505113366548447232.000
    he4+c13-->n+o16 flux=1.768e-40 flux_true=1.768e-40
    he4+c13-->n+o16 flux=1.065e-204 flux_true=1.065e-204
    he4+c13-->n+o16 flux=0.000e+00 flux_true=0.000e+00
    n+o16-->he4+c13 flux=0.000e+00 flux_true=0.000e+00
    n+o16-->he4+c13 flux=0.000e+00 flux_true=0.000e+00
    n+o16-->he4+c13 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=1.768e-40
Isotope Equil Ratios: 4He(4.625e-04)  13C(6.667e+25)   1n(6.667e+01)  16O(1.844e+00) 
Isotope Mass Fractions: 4He(6.156e-02)  13C(0.000e+00)   1n(1.708e-06)  16O(3.860e-06) 

REACTION GROUP 11: isEquil=FALSE netflux=5.492e-26 thisDevious/maxDevious=100140001.440
    n13-->c13+e++nu flux=5.492e-26 flux_true=5.492e-26
    Sum flux_true=5.492e-26
Isotope Equil Ratios: 13N(6.667e+25)  13C(1.342e-02) 
Isotope Mass Fractions: 13N(0.000e+00)  13C(1.314e-07) 

REACTION GROUP 12: isEquil=FALSE netflux=1.088e-57 thisDevious/maxDevious=0.000
    n+n13-->n14 flux=1.088e-57 flux_true=1.088e-57
    n+n13-->n14 flux=1.067e-127 flux_true=1.067e-127
    n14-->n+n13 flux=0.000e+00 flux_true=0.000e+00
    n14-->n+n13 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=1.088e-57
Isotope Equil Ratios:  1n(6.667e+25)  13N(1.852e+01)  14N(2.244e-08) 
Isotope Mass Fractions:  1n(0.000e+00)  13N(3.642e-24)  14N(5.961e-05) 

REACTION GROUP 13: isEquil=FALSE netflux=5.667e-64 thisDevious/maxDevious=113937118329904.453
    he4+n13-->p+o16 flux=5.667e-64 flux_true=5.667e-64
    p+o16-->he4+n13 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=5.667e-64
Isotope Equil Ratios: 4He(1.621e-07)  13N(6.667e+01)   1H(1.857e+01)  16O(9.752e-08) 
Isotope Mass Fractions: 4He(6.156e-02)  13N(2.135e-18)   1H(8.530e-09)  16O(3.753e-06) 

REACTION GROUP 14: isEquil=FALSE netflux=1.731e-40 thisDevious/maxDevious=0.000
    n+n14-->n15 flux=1.731e-40 flux_true=1.731e-40
    n15-->n+n14 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=1.731e-40
Isotope Equil Ratios:  1n(6.667e+25)  14N(2.244e-08)  15N(7.724e-01) 
Isotope Mass Fractions:  1n(0.000e+00)  14N(5.961e-05)  15N(1.949e-09) 

REACTION GROUP 15: isEquil=FALSE netflux=3.949e-26 thisDevious/maxDevious=3700885994356313316797089890393128960.000
    p+n14-->o15 flux=3.949e-26 flux_true=3.949e-26
    p+n14-->o15 flux=3.914e-71 flux_true=3.914e-71
    o15-->p+n14 flux=0.000e+00 flux_true=0.000e+00
    o15-->p+n14 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=3.949e-26
Isotope Equil Ratios:  1H(6.667e+25)  14N(6.814e-04)  15O(6.667e+01) 
Isotope Mass Fractions:  1H(0.000e+00)  14N(5.961e-05)  15O(5.687e-10) 

REACTION GROUP 16: isEquil=FALSE netflux=1.259e-49 thisDevious/maxDevious=2951471124302850371571199489536553867724980224.000
    he4+n14-->f18 flux=1.259e-49 flux_true=1.259e-49
    he4+n14-->f18 flux=5.990e-71 flux_true=5.990e-71
    he4+n14-->f18 flux=3.818e-97 flux_true=3.818e-97
    f18-->he4+n14 flux=0.000e+00 flux_true=0.000e+00
    f18-->he4+n14 flux=0.000e+00 flux_true=0.000e+00
    f18-->he4+n14 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=1.259e-49
Isotope Equil Ratios: 4He(2.267e-01)  14N(6.667e+25) 18Fl(6.667e+01) 
Isotope Mass Fractions: 4He(6.135e-02)  14N(0.000e+00) 18Fl(4.637e-05) 

REACTION GROUP 17: isEquil=FALSE netflux=-1.346e-57 thisDevious/maxDevious=  nan
    he4+n14-->n+f17 flux=0.000e+00 flux_true=0.000e+00
    he4+n14-->n+f17 flux=0.000e+00 flux_true=0.000e+00
    n+f17-->he4+n14 flux=1.346e-57 flux_true=1.346e-57
    n+f17-->he4+n14 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=-1.346e-57
Isotope Equil Ratios: 4He(1.621e-07)  14N(2.244e-08)   1n(6.667e+25) 17Fl(6.667e+25) 
Isotope Mass Fractions: 4He(6.156e-02)  14N(5.961e-05)   1n(0.000e+00) 17Fl(0.000e+00) 

REACTION GROUP 18: isEquil=FALSE netflux=-1.082e-29 thisDevious/maxDevious=5.000
    he4+n14-->p+o17 flux=1.443e-321 flux_true=1.443e-321
    he4+n14-->p+o17 flux=0.000e+00 flux_true=0.000e+00
    he4+n14-->p+o17 flux=8.004e-322 flux_true=8.004e-322
    p+o17-->he4+n14 flux=6.948e-30 flux_true=6.948e-30
    p+o17-->he4+n14 flux=2.917e-99 flux_true=2.917e-99
    p+o17-->he4+n14 flux=3.871e-30 flux_true=3.871e-30
    Sum flux_true=-1.082e-29
Isotope Equil Ratios: 4He(2.147e-06)  14N(6.814e-04)   1H(1.379e+07)  17O(1.164e-02) 
Isotope Mass Fractions: 4He(6.156e-02)  14N(5.961e-05)   1H(2.975e-14)  17O(2.874e-06) 

REACTION GROUP 19: isEquil=FALSE netflux=3.093e-29 thisDevious/maxDevious=14806514806232.229
    p+n15-->o16 flux=3.093e-29 flux_true=3.093e-29
    p+n15-->o16 flux=6.314e-77 flux_true=6.314e-77
    o16-->p+n15 flux=0.000e+00 flux_true=0.000e+00
    o16-->p+n15 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=3.093e-29
Isotope Equil Ratios:  1H(6.667e+25)  15N(2.638e+01)  16O(9.470e-03) 
Isotope Mass Fractions:  1H(0.000e+00)  15N(1.380e-09)  16O(3.753e-06) 

REACTION GROUP 20: isEquil=FALSE netflux=8.244e-54 thisDevious/maxDevious=7272276811137277193355264.000
    he4+n15-->f19 flux=8.244e-54 flux_true=8.244e-54
    he4+n15-->f19 flux=6.347e-99 flux_true=6.347e-99
    he4+n15-->f19 flux=9.721e-218 flux_true=9.721e-218
    f19-->he4+n15 flux=0.000e+00 flux_true=0.000e+00
    f19-->he4+n15 flux=0.000e+00 flux_true=0.000e+00
    f19-->he4+n15 flux=0.000e+00 flux_true=0.000e+00
    Sum flux_true=8.244e-54
Isotope Equil Ratios: 4He(8.077e-06)  15N(6.667e+25) 19Fl(5.711e+01) 
