# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
2.7071e+16 7.7615e+12 4.4024e+01 1.0574e+18 2.0000e+07 2.0000e+01 1.8697e+02
2.8840e+16 1.2928e+12 4.4107e+01 1.1354e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.0726e+16 9.5531e+12 4.4076e+01 1.2185e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.2734e+16 1.3286e+13 4.3915e+01 1.3069e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.4874e+16 8.2596e+12 4.3617e+01 1.4006e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.7154e+16 1.7357e+13 4.3169e+01 1.4995e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.9582e+16 1.6868e+12 4.2564e+01 1.6037e+18 2.0000e+07 2.0000e+01 1.8697e+02
4.2170e+16 1.6158e+13 4.1800e+01 1.7128e+18 2.0000e+07 2.0000e+01 1.8697e+02
4.4926e+16 2.3702e+13 4.0874e+01 1.8268e+18 2.0000e+07 2.0000e+01 1.8697e+02
4.7863e+16 2.7460e+13 3.9789e+01 1.9453e+18 2.0000e+07 2.0000e+01 1.8697e+02
5.0992e+16 9.1426e+12 3.8544e+01 2.0678e+18 2.0000e+07 2.0000e+01 1.8697e+02
5.4325e+16 3.6856e+12 3.7151e+01 2.1940e+18 2.0000e+07 2.0000e+01 1.8697e+02
5.7876e+16 9.7861e+12 3.5618e+01 2.3232e+18 2.0000e+07 2.0000e+01 1.8697e+02
6.1660e+16 7.4655e+12 3.3954e+01 2.4548e+18 2.0000e+07 2.0000e+01 1.8697e+02
6.5690e+16 8.3035e+12 3.2176e+01 2.5881e+18 2.0000e+07 2.0000e+01 1.8697e+02
6.9984e+16 9.5317e+12 3.0303e+01 2.7222e+18 2.0000e+07 2.0000e+01 1.8697e+02
7.4559e+16 3.2162e+13 2.8357e+01 2.8564e+18 2.0000e+07 2.0000e+01 1.8697e+02
7.9433e+16 2.2570e+13 2.6352e+01 2.9897e+18 2.0000e+07 2.0000e+01 1.8697e+02
8.4625e+16 1.0453e+13 2.4314e+01 3.1211e+18 2.0000e+07 2.0000e+01 1.8697e+02
9.0157e+16 1.0145e+13 2.2268e+01 3.2499e+18 2.0000e+07 2.0000e+01 1.8697e+02
9.6051e+16 9.2007e+12 2.0236e+01 3.3751e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.0233e+17 1.1600e+13 1.8240e+01 3.4958e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.0902e+17 1.9170e+13 1.6301e+01 3.6112e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.1614e+17 3.3489e+12 1.4435e+01 3.7206e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.2374e+17 2.9011e+12 1.2663e+01 3.8233e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.3183e+17 9.0969e+12 1.0999e+01 3.9189e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.4044e+17 1.5335e+13 9.4525e+00 4.0068e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.4962e+17 2.4013e+13 8.0339e+00 4.0869e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.5940e+17 8.3993e+12 6.7470e+00 4.1590e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.6982e+17 2.2696e+13 5.5970e+00 4.2232e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.8093e+17 2.1703e+13 4.5817e+00 4.2795e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.9275e+17 6.8906e+13 3.6993e+00 4.3283e+18 2.0000e+07 2.0000e+01 1.8697e+02
2.0535e+17 8.5740e+12 2.9408e+00 4.3699e+18 2.0000e+07 2.0000e+01 1.8697e+02
2.1878e+17 1.0800e+12 2.3020e+00 4.4049e+18 2.0000e+07 2.0000e+01 1.8697e+02
2.3308e+17 5.5700e+13 1.7728e+00 4.4339e+18 2.0000e+07 2.0000e+01 1.8697e+02
2.4831e+17 1.4411e+13 1.3404e+00 4.4575e+18 2.0000e+07 2.0000e+01 1.8697e+02
2.6455e+17 1.4172e+13 9.9476e-01 4.4763e+18 2.0000e+07 2.0000e+01 1.8697e+02
2.8184e+17 1.3319e+14 7.2389e-01 4.4911e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.0026e+17 9.6931e+12 5.1504e-01 4.5024e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.1989e+17 4.0443e+13 3.5859e-01 4.5109e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.4080e+17 9.5468e+13 2.4372e-01 4.5171e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.6308e+17 4.0348e+13 1.6133e-01 4.5216e+18 2.0000e+07 2.0000e+01 1.8697e+02
3.8681e+17 9.9000e+13 1.0400e-01 4.5247e+18 2.0000e+07 2.0000e+01 1.8697e+02
4.1210e+17 4.4283e+13 6.5053e-02 4.5268e+18 2.0000e+07 2.0000e+01 1.8697e+02
4.3904e+17 1.2943e+14 3.9485e-02 4.5281e+18 2.0000e+07 2.0000e+01 1.8697e+02
4.6774e+17 3.5030e+14 2.3204e-02 4.5290e+18 2.0000e+07 2.0000e+01 1.8697e+02
4.9831e+17 5.3060e+14 1.3155e-02 4.5296e+18 2.0000e+07 2.0000e+01 1.8697e+02
5.3088e+17 1.2745e+15 7.1955e-03 4.5299e+18 2.0000e+07 2.0000e+01 1.8697e+02
5.6559e+17 7.5663e+14 3.7523e-03 4.5301e+18 2.0000e+07 2.0000e+01 1.8697e+02
6.0256e+17 6.2233e+14 1.8780e-03 4.5302e+18 2.0000e+07 2.0000e+01 1.8697e+02
6.4195e+17 4.4460e+15 9.2257e-04 4.5302e+18 2.0000e+07 2.0000e+01 1.8697e+02
6.8391e+17 2.9353e+15 4.1452e-04 4.5302e+18 2.0000e+07 2.0000e+01 1.8697e+02
7.2862e+17 3.7871e+15 1.7904e-04 4.5303e+18 2.0000e+07 2.0000e+01 1.8697e+02
7.7625e+17 1.2379e+16 7.6951e-05 4.5303e+18 2.0000e+07 2.0000e+01 1.8697e+02
8.2699e+17 1.3701e+16 2.9589e-05 4.5303e+18 2.0000e+07 2.0000e+01 1.8697e+02
8.8105e+17 1.4647e+16 1.0437e-05 4.5303e+18 2.0000e+07 2.0000e+01 1.8697e+02
9.3864e+17 4.4882e+16 4.0084e-06 4.5303e+18 2.0000e+07 2.0000e+01 1.8697e+02
1.0000e+18 5.9881e+16 1.2089e-06 4.5303e+18 2.0000e+07 2.0000e+01 1.8697e+02
