-11.100 -12.440 16.734 27.422 0.000 0.000 1.000 -1.275e+00 -6.822e-01 -3.031e-01 -6.521e-01 -1.746e+00 -3.168e+00 -6.245e+00 -1.022e+01 -1.487e+01 -1.903e+01 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-11.050 -12.050 16.752 27.374 0.000 0.000 1.000 -1.252e+00 -7.127e-01 -3.023e-01 -6.358e-01 -1.709e+00 -3.113e+00 -6.114e+00 -1.001e+01 -1.458e+01 -1.867e+01 -2.393e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-11.000 -12.406 16.769 27.273 0.000 0.000 1.000 -1.229e+00 -7.449e-01 -3.012e-01 -6.212e-01 -1.673e+00 -3.059e+00 -5.985e+00 -9.806e+00 -1.431e+01 -1.832e+01 -2.383e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.950 -13.068 16.784 27.181 0.000 0.000 1.000 -1.207e+00 -7.783e-01 -3.000e-01 -6.089e-01 -1.638e+00 -3.004e+00 -5.856e+00 -9.600e+00 -1.402e+01 -1.796e+01 -2.364e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.900 -12.761 16.797 27.092 0.000 0.000 1.000 -1.187e+00 -8.128e-01 -2.984e-01 -5.987e-01 -1.603e+00 -2.948e+00 -5.726e+00 -9.394e+00 -1.374e+01 -1.759e+01 -2.333e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.850 -12.190 16.809 27.004 0.000 0.000 1.000 -1.167e+00 -8.487e-01 -2.965e-01 -5.907e-01 -1.568e+00 -2.893e+00 -5.598e+00 -9.190e+00 -1.346e+01 -1.723e+01 -2.296e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.800 -11.800 16.819 26.930 0.000 0.000 1.000 -1.148e+00 -8.861e-01 -2.942e-01 -5.846e-01 -1.534e+00 -2.836e+00 -5.472e+00 -8.992e+00 -1.319e+01 -1.689e+01 -2.257e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.750 -12.156 16.828 26.767 0.000 0.000 1.000 -1.129e+00 -9.251e-01 -2.916e-01 -5.807e-01 -1.500e+00 -2.780e+00 -5.347e+00 -8.797e+00 -1.292e+01 -1.656e+01 -2.218e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.700 -12.818 16.835 26.607 0.000 0.000 1.000 -1.111e+00 -9.650e-01 -2.886e-01 -5.792e-01 -1.466e+00 -2.722e+00 -5.221e+00 -8.600e+00 -1.266e+01 -1.622e+01 -2.177e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.650 -12.511 16.840 26.435 0.000 0.000 1.000 -1.093e+00 -1.006e+00 -2.851e-01 -5.802e-01 -1.433e+00 -2.664e+00 -5.094e+00 -8.402e+00 -1.238e+01 -1.587e+01 -2.135e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
